Moana serial number, 874
Download time, 10/06/2025 09:00:02
Deck unit serial number, 5361
Moana calibration date, 17/08/2023
Moana Battery, 3.56 (V)
Date quality controlled, 2025-06-10T12:03:14 +0000
Vessel Name, Green Mountain 
Vessel ID, NA
Cellular upload position, NA
Deck unit battery voltage, 4.16
QC_FLAG Key, 1=good 2=probably good 3=probably bad 4=bad
,DATETIME [UTC],LATITUDE,LONGITUDE,TEMPERATURE [degC],DEPTH [m],QC_FLAG
0,2025-06-10T01:07:46,29.113936,197.529005,24.65,1.3,3
1,2025-06-10T01:07:48,29.113936,197.529005,24.62,2.4,2
2,2025-06-10T01:07:50,29.113936,197.529005,24.62,3.5,2
3,2025-06-10T01:07:53,29.113936,197.529005,24.62,5.1,2
4,2025-06-10T01:07:55,29.113936,197.529005,24.61,6.2,2
5,2025-06-10T01:07:57,29.113936,197.529005,24.61,7.6,2
6,2025-06-10T01:08:00,29.113936,197.529005,24.59,9.0,2
7,2025-06-10T01:08:03,29.113936,197.529005,24.58,10.6,2
8,2025-06-10T01:08:05,29.113936,197.529005,24.56,11.6,2
9,2025-06-10T01:08:07,29.113936,197.529005,24.53,13.1,2
10,2025-06-10T01:08:11,29.113936,197.529005,24.5,14.5,2
11,2025-06-10T01:08:14,29.113936,197.529005,24.35,16.1,2
12,2025-06-10T01:08:18,29.113936,197.529005,24.18,17.4,2
13,2025-06-10T01:08:21,29.113936,197.529005,23.94,18.6,2
14,2025-06-10T01:08:25,29.113936,197.529005,23.91,19.9,2
15,2025-06-10T01:08:29,29.113936,197.529005,23.89,21.6,2
16,2025-06-10T01:08:34,29.113936,197.529005,23.87,22.8,2
17,2025-06-10T01:08:38,29.113936,197.529005,23.85,24.1,2
18,2025-06-10T01:08:41,29.113936,197.529005,23.84,25.2,2
19,2025-06-10T01:08:44,29.113936,197.529005,23.82,26.6,2
20,2025-06-10T01:08:49,29.113936,197.529005,23.78,27.7,2
21,2025-06-10T01:08:52,29.113936,197.529005,23.72,28.8,2
22,2025-06-10T01:08:54,29.113936,197.529005,23.7,29.9,2
23,2025-06-10T01:08:59,29.113936,197.529005,23.64,31.3,2
24,2025-06-10T01:09:03,29.113936,197.529005,23.58,32.7,2
25,2025-06-10T01:09:07,29.113936,197.529005,23.49,33.8,2
26,2025-06-10T01:09:09,29.113936,197.529005,23.45,34.9,2
27,2025-06-10T01:09:13,29.113936,197.529005,23.4,36.0,2
28,2025-06-10T01:09:17,29.113936,197.529005,23.3,37.2,2
29,2025-06-10T01:09:21,29.113936,197.529005,23.15,38.2,2
30,2025-06-10T01:09:24,29.113936,197.529005,23.12,39.6,2
31,2025-06-10T01:09:28,29.113936,197.529005,22.95,40.9,2
